uf,cod._uf,cod_municipio,nome_municipio,populacao
SE,28,0002106,Estância,67060.0
SE,28,0002205,Feira Nova,6358.0
SE,28,0002304,Frei Paulo,14921.0
SE,28,0002403,Gararu,11294.0
SE,28,0002502,General Maynard,3118.0
SE,28,0002601,Gracho Cardoso,5910.0
SE,28,0002700,Ilha Das Flores,8499.0
SE,28,0002809,Indiaroba,16991.0
SE,28,0002908,Itabaiana,109250.0
SE,28,0003005,Itabaianinha,42230.0
SE,28,0003104,Itabi,4816.0
SE,28,0003203,Itaporanga D'Ajuda,36074.0
SE,28,0003302,Japaratuba,16451.0
SE,28,0003401,Japoatã,13723.0
SE,28,0003500,Lagarto,105957.0
SE,28,0003609,Laranjeiras,24047.0
SE,28,0003708,Macambira,7048.0
SE,28,0003807,Malhada Dos Bois,3674.0
SE,28,0003906,Malhador,11712.0
SE,28,0004003,Maruim,15956.0
SE,28,0004102,Moita Bonita,11297.0
SE,28,0004201,Monte Alegre De Sergipe,14781.0
SE,28,0004300,Muribeca,8059.0
SE,28,0004409,Neópolis,16473.0
SE,28,0004458,Nossa Senhora Aparecida,9534.0
SE,28,0004508,Nossa Senhora Da Glória,43686.0
SE,28,0004607,Nossa Senhora Das Dores,25569.0
SE,28,0004706,Nossa Senhora De Lourdes,6409.0
SE,28,0004805,Nossa Senhora Do Socorro,204081.0
SE,28,0004904,Pacatuba,12690.0
SE,28,0005000,Pedra Mole,2811.0
SE,28,0005109,Pedrinhas,7355.0
SE,28,0005208,Pinhão,5759.0
SE,28,0005307,Pirambu,8021.0
SE,28,0005406,Poço Redondo,29238.0
SE,28,0005505,Poço Verde,22217.0
SE,28,0005604,Porto Da Folha,27348.0
SE,28,0005703,Propriá,27213.0
SE,28,0005802,Riachão Do Dantas,18541.0
SE,28,0005901,Riachuelo,8853.0
SE,28,0006008,Ribeirópolis,17365.0
SE,28,0006107,Rosário Do Catete,9507.0
SE,28,0006206,Salgado,20825.0
SE,28,0006305,Santa Luzia Do Itanhy,14003.0
SE,28,0006404,Santana Do São Francisco,7549.0
SE,28,0006503,Santa Rosa De Lima,4049.0
SE,28,0006602,Santo Amaro Das Brotas,11289.0
SE,28,0006701,São Cristóvão,101213.0
SE,28,0006800,São Domingos,10559.0
SE,28,0006909,São Francisco,3330.0
SE,28,0007006,São Miguel Do Aleixo,3471.0
SE,28,0007105,Simão Dias,44503.0
SE,28,0007204,Siriri,7981.0
SE,28,0007303,Telha,3389.0
SE,28,0007402,Tobias Barreto,52783.0
SE,28,0007501,Tomar Do Geru,12094.0
SE,28,0007600,Umbaúba,24618.0
BA,29,0000108,Abaíra,7407.0
BA,29,0000207,Abaré,18269.0
BA,29,0000306,Acajutiba,14200.0
BA,29,0000355,Adustina,14510.0
BA,29,0000405,Água Fria,14833.0
BA,29,0000504,Érico Cardoso,10947.0
BA,29,0000603,Aiquara,4583.0
BA,29,0000702,Alagoinhas,161196.0
BA,29,0000801,Alcobaça,25601.0
BA,29,0000900,Almadina,5296.0
BA,29,0001007,Amargosa,38585.0
BA,29,0001106,Amélia Rodrigues,24830.0
BA,29,0001155,América Dourada,15572.0
BA,29,0001205,Anagé,26745.0
BA,29,0001304,Andaraí,13545.0
BA,29,0001353,Andorinha,15491.0
BA,29,0001403,Angical,14178.0
BA,29,0001502,Anguera,11490.0
BA,29,0001601,Antas,14984.0
BA,29,0001700,Antônio Cardoso,11498.0
BA,29,0001809,Antônio Gonçalves,11248.0
BA,29,0001908,Aporá,16361.0
BA,29,0001957,Apuarema,7101.0
BA,29,0002005,Aracatu,14440.0
BA,29,0002054,Araçás,11953.0
BA,29,0002104,Araci,50308.0
BA,29,0002203,Aramari,10106.0
BA,29,0002252,Arataca,10433.0
BA,29,0002302,Aratuípe,8993.0
BA,29,0002401,Aurelino Leal,11339.0
BA,29,0002500,Baianópolis,14138.0
BA,29,0002609,Baixa Grande,18628.0
BA,29,0002658,Banzaê,12288.0
BA,29,0002708,Barra,53642.0
BA,29,0002807,Barra Da Estiva,27743.0
BA,29,0002906,Barra Do Choça,38581.0
BA,29,0003003,Barra Do Mendes,14376.0
BA,29,0003102,Barra Do Rocha,5898.0
BA,29,0003201,Barreiras,171634.0
BA,29,0003235,Barro Alto,13922.0
BA,29,0003276,Barrocas,15780.0
BA,29,0003300,Barro Preto,5936.0
BA,29,0003409,Belmonte,20527.0
BA,29,0003508,Belo Campo,19074.0
BA,29,0003607,Biritinga,15603.0
BA,29,0003706,Boa Nova,14008.0
BA,29,0003805,Boa Vista Do Tupim,17262.0
BA,29,0003904,Bom Jesus Da Lapa,68866.0
BA,29,0003953,Bom Jesus Da Serra,10018.0
BA,29,0004001,Boninal,14125.0
BA,29,0004050,Bonito,16425.0
BA,29,0004100,Boquira,19782.0
BA,29,0004209,Botuporã,11427.0
BA,29,0004308,Brejões,13224.0
BA,29,0004407,Brejolândia,9363.0
BA,29,0004506,Brotas De Macaúbas,12180.0
BA,29,0004605,Brumado,74368.0
